Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
7/31/2006,505159.5807,392078.9592,426205.5018,422676.8472,442274.8096,340909.6979,438473.2588,213524.2292,390671.133,494162.9126,281025.9343,315071.2463,480502.2339,247734.6126,268457.2422,180289.3494,327798.3686,483748.2961,339489.0373,443627.3,180608.0456
8/31/2006,504564.3241,392127.7869,427448.9468,424456.5429,442714.479,341955.5854,440608.6999,214460.6451,392069.0623,492685.0964,282010.0401,315343.5407,480174.4446,249709.3698,270463.3901,183049.9887,328945.9113,484148.5313,340472.1098,444022.8522,182255.2868
9/30/2006,503209.9147,391615.0616,428385.1442,425536.7566,442375.3823,342128.7459,441708.5379,215280.5115,392936.8125,490910.5537,282679.5338,315012.293,478687.7278,251448.7739,271708.5466,185411.3822,329148.6104,483413.1043,340675.1311,443246.672,181624.8369
10/31/2006,500852.8863,389929.3727,428810.5765,425945.4728,441493.0084,341702.4131,441189.6278,216046.421,393333.8665,488894.8338,283002.4773,314619.9998,476250.51,252768.1632,272581.7487,187495.4052,328984.5412,482116.3341,340947.6799,441829.4874,182065.5681
11/30/2006,498271.442,388569.3194,428913.9583,426895.3826,440332.259,340296.4818,439645.7291,216682.6468,393727.6933,486584.8406,282717.3409,314447.5883,474691.6729,252863.3965,272884.3677,189216.4281,328056.5025,479571.0665,340619.0937,440028.4328,181781.4354
12/31/2006,495723.2241,386768.5226,429083.6031,427688.1995,438248.7693,338421.611,438263.4705,217057.1225,393516.6741,483450.1074,282397.2797,313741.2064,472414.2193,251624.4679,272545.6464,190535.7627,326378.8728,476763.3813,339297.9915,438084.1809,182431.8024
1/31/2007,492985.4071,386343.6165,429614.8597,428450.4954,434658.577,336261.045,437514.9347,217168.7699,393252.5004,480580.7715,281809.0374,312820.9972,470368.1975,250243.0012,272087.6599,191335.8983,323934.2619,475218.1775,337584.9191,436093.5698,180889.615
2/28/2007,491716.8511,385886.9501,430603.8599,428997.9898,431486.2549,334702.4454,437201.9082,217479.0986,392724.2274,478931.5962,281112.0501,312269.0531,467586.6372,249731.1957,271490.3276,191620.542,322145.5479,474949.6014,335836.8548,433287.0319,180419.4026
3/31/2007,491944.8899,386177.143,431989.5721,429518.1997,429176.5159,333287.2725,437354.9884,218176.2607,392242.1046,478254.2866,281065.2483,312376.5039,466222.9101,250445.7312,271619.6723,191508.1788,321556.3015,474571.4991,335192.5962,430319.4345,181886.0332
4/30/2007,493612.4091,385932.4927,433087.7368,430196.9273,429124.8919,332291.3802,438361.8252,219117.6124,391532.6757,478281.5918,281388.164,312628.5776,465543.2055,251166.709,271509.6956,191701.8836,321744.9209,472169.4594,334791.828,426826.325,184016.642
5/31/2007,495394.8534,384567.2119,432700.2618,430964.4718,428612.4841,331462.4008,438935.3102,219947.5579,390215.0481,478006.8739,282244.3415,312310.0359,465908.9038,251717.9303,271622.6654,192181.6021,321476.3097,469436.9379,334498.7305,423074.2397,184966.011
6/30/2007,495529.8385,382013.4676,430663.8178,431533.3962,427581.1254,330100.7263,438572.2425,220522.8026,389180.0025,477503.1213,282035.1264,311779.5285,465359.5013,251672.3295,271285.8259,193340.6186,320545.7447,467922.0666,333664.7151,419169.9847,184553.8055
7/31/2007,494116.022,378620.7047,427296.5587,431881.1932,425509.071,328354.2625,436142.895,220881.8739,388194.188,475982.6214,281288.5261,310702.048,464552.7561,251600.1605,270221.086,194272.31,319617.5387,468240.4119,332632.5192,415696.1497,184485.5195
8/31/2007,491602.3976,375721.3282,424060.8683,430961.9766,423716.8889,326143.8672,433843.1879,220598.0226,387300.7638,474828.3734,280037.1095,309062.9705,462178.3408,251409.1974,268350.4625,194683.4518,318645.7343,468204.9085,331421.8615,413274.3818,185033.619
9/30/2007,489090.5564,373690.2468,420644.9202,429319.2423,422416.6331,324199.5462,431720.2166,219873.7333,385787.644,473656.6071,278922.2464,306855.6774,460159.6628,250750.8555,266382.0355,194539.7395,316653.7023,466499.2322,330035.2544,412258.6597,186235.9923
10/31/2007,487030.3842,372682.0226,418448.1453,427429.411,420617.0039,322159.5236,431259.6442,219178.6949,383484.0939,472658.7095,277666.3769,304531.7272,457946.961,249817.5277,264798.5564,194118.6089,314442.5463,464115.621,328614.2309,410984.3274,187740.7923
11/30/2007,485251.7401,371849.5334,417604.6006,425466.7557,418898.5691,319328.0367,430243.9561,218723.7961,380419.7912,471374.1866,276382.6293,302694.4163,456017.9633,248501.1127,263149.5994,193448.0542,313515.5532,461412.012,326809.2551,409457.97,189224.184
12/31/2007,483309.2865,370747.3135,416850.2028,423161.274,417933.1337,316745.8321,427898.5296,218489.9527,377090.7569,469647.8731,274501.7923,300696.5536,454433.506,248177.8807,260741.3434,191997.5723,313520.5608,458724.4056,325479.7689,408052.8602,189870.7896
1/31/2008,481104.4172,369850.961,415858.6183,419442.7033,417414.3021,315815.1129,424998.6712,217932.6995,374895.3765,466496.8606,272742.9345,298790.7533,452775.359,248354.5594,258316.177,190154.5737,313561.4471,456158.157,325449.7212,407170.6157,189396.5498
2/29/2008,479089.8755,368817.5192,414085.4084,417431.613,416960.634,315908.5633,421801.905,217467.9572,374009.0929,461785.2888,270965.8252,297602.4961,451259.0489,248933.3449,256986.7126,188484.4592,312207.5717,454870.0377,327346.0963,408289.5803,188559.2888
3/31/2008,477219.7785,367366.7871,413038.606,411882.14,416081.5092,315472.4858,418990.1307,217078.2972,372693.6021,456480.0865,269657.5516,296323.6708,449606.3191,247625.7105,256424.9685,187758.5995,309478.4704,452786.7084,328834.0614,407766.9014,187118.1955
4/30/2008,475702.4537,364939.4146,411939.6325,406658.6536,413749.3755,312286.0529,415584.1003,216491.6638,369711.5673,451882.43,268183.5169,294750.5781,446357.5713,246415.9889,255690.2072,187297.2603,306317.7013,449814.1014,327848.7165,407935.6104,185308.5844
5/31/2008,472732.666,361814.81,410168.2894,399849.3121,410095.8651,308345.6909,412242.4997,215349.871,365653.9019,447102.383,266423.6832,292123.7516,442494.2767,244803.2323,253782.7977,187850.8268,302679.4486,445110.89,325831.8963,410339.7483,184198.5746
6/30/2008,468585.0668,358263.7573,407978.7284,397274.665,404755.9083,304743.3871,408530.9216,213909.4311,361993.4524,442555.6148,264772.3103,289324.8632,438683.5133,244249.8325,251536.5703,188814.6343,299256.3408,441196.3703,321920.3122,414819.7024,183496.7251
7/31/2008,463600.7913,354969.4564,404872.9061,395028.533,399946.0871,302440.6211,404374.3677,212248.291,358992.6738,438259.9341,263083.5782,287048.1875,435982.6685,242842.2361,249002.2479,189701.3008,295887.722,438399.7637,316977.1859,419094.2106,183142.3651
8/31/2008,459415.8425,352213.8052,402336.8494,390335.8373,395267.9346,300385.7967,399690.3068,210794.0929,356162.2789,435001.3729,261569.0853,284942.8158,434133.8594,241272.0956,246295.8651,189579.6165,292984.7383,436372.4824,310143.1046,419588.0227,182088.141
9/30/2008,456232.8473,350417.7371,399960.5147,384308.6614,391806.6415,298230.6882,394780.073,208575.9224,353830.5039,431350.7094,259395.3005,283174.9204,431371.7444,238846.1421,243560.5223,188149.7925,290025.3993,434779.154,304704.8091,418194.8149,181021.4374
10/31/2008,452721.2576,348891.329,396583.7602,378153.314,389720.6218,295699.1045,389608.3112,206145.1944,350695.189,427748.4695,257212.1752,280597.4562,428380.0232,236160.2238,240624.5667,184431.7815,286784.8823,432090.2102,300858.132,415079.4757,179605.3662
