Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
10/31/2005,436889.1988,340200.3181,365172.3057,329063.3587,397169.1949,309832.7414,376273.079,179685.9721,340727.3452,438580.4678,253325.8868,276066.9719,439102.8473,220213.419,220520.2418,141959.6644,294330.2207,427812.9496,299178.2997,356606.3509,140898.6984
11/30/2005,441417.3654,343542.5841,369638.8555,333876.7704,400594.0008,312441.7861,381050.0735,181645.7541,344885.3069,442219.1582,256280.0224,278414.4745,443083.8525,222195.2305,223648.0834,144069.8661,296632.245,431376.7218,302102.6487,361542.3712,142594.9559
12/31/2005,445050.6743,346837.911,373247.4312,337498.0904,403684.2922,315411.272,385476.2744,183768.8537,348633.1737,445625.6361,259287.5929,280762.9406,446344.0959,223685.9218,226899.6796,146171.5972,298973.0424,433897.1219,305136.3557,366049.1739,144563.0273
1/31/2006,447985.5012,349379.358,376166.2111,341206.4148,406687.2157,318358.6753,389613.8316,185656.7462,350986.3268,448859.3216,261514.1734,282867.3494,447953.9368,225403.2465,229852.8085,148165.1501,300622.7538,435725.3167,307880.5022,370392.2456,146447.908
2/28/2006,451056.8954,351765.7495,379002.315,345185.8871,409674.5418,321140.9076,392028.236,187818.219,352964.1272,452482.2158,263280.9181,285162.357,448830.7753,227349.484,232135.4334,149875.7443,302810.4867,437951.1336,310325.3611,374213.1319,148448.685
3/31/2006,454929.0322,354236.5737,381571.3937,349200.3349,411892.4646,323698.0349,393189.4171,189865.9278,355207.7202,456284.9273,265405.835,287475.6173,450036.559,229401.5143,234728.2646,151071.3374,305518.578,440149.7138,312255.9151,377601.0533,150192.4546
4/30/2006,457946.4635,357157.2542,385079.0072,353554.5161,414501.02,326188.3262,394848.0448,191828.1974,358096.236,459675.8012,268084.1825,289752.0221,452642.7523,231386.2729,237532.183,152736.5348,308557.413,442639.8948,314178.0737,380650.2324,152114.5308
5/31/2006,459876.0581,359250.1861,388572.062,357581.7373,417171.1486,328572.1086,398037.7639,194087.6449,361381.5465,462072.7653,270763.0103,292034.1439,455292.7637,233144.2316,240655.0412,154448.6549,311337.0838,444609.9327,316238.3467,383127.6227,154208.2555
6/30/2006,460750.6225,360819.7345,391678.859,361783.9365,420042.7576,330703.0855,402384.113,196018.3123,364226.2582,463315.928,272722.4494,294011.8128,457422.9617,235316.0843,243091.0452,156785.1588,313792.3925,447048.685,318584.8688,384905.1308,156578.2422
7/31/2006,461721.6366,361402.3463,393545.5501,364586.4906,421974.1083,332152.601,405713.5917,197541.5693,366351.3755,463448.8998,274109.438,295498.1576,458188.8581,237177.2013,245013.1451,159032.9021,315538.1739,447981.5248,320076.169,385607.7427,158865.0341
8/31/2006,461177.012,361446.7772,394704.5984,366119.2917,422445.6071,333169.4697,407690.6947,198408.5178,367661.8906,462074.2699,275072.0385,295754.7082,457873.2793,239067.4408,246844.7798,161492.0763,316644.4012,448237.9295,321003.0508,385947.3626,160313.9486
9/30/2006,459938.7804,360973.7116,395568.9271,367048.4538,422138.5858,333339.3637,408709.6918,199167.7271,368475.2951,460408.509,275723.2981,295445.2724,456456.5356,240733.6991,247982.7849,163597.0899,316835.5917,447488.9245,321194.4485,385271.5373,159760.3792
